,beta,gamma,delta,init_inf_frac,alpha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
0,0.1,0.3,0.2,0.0001,0.2,0.0,6.0,14.0,17.0,20.0,19.0,18.0,14.0,13.0,11.0,9.0,12.0,8.0,7.0,3.0,9.0,4.0,2.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1,0.3,0.2,0.0001,0.30000000000000004,0.0,15.0,32.0,28.0,43.0,40.0,41.0,33.0,47.0,26.0,33.0,25.0,22.0,21.0,22.0,12.0,10.0,10.0,8.0,9.0,7.0,3.0,10.0,5.0,2.0,3.0,4.0,5.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.1,0.3,0.2,0.0001,0.4000000000000001,0.0,25.0,47.0,61.0,61.0,65.0,46.0,45.0,51.0,50.0,36.0,33.0,31.0,32.0,25.0,26.0,20.0,18.0,23.0,11.0,21.0,9.0,12.0,12.0,4.0,7.0,7.0,10.0,1.0,3.0,4.0,5.0,7.0,6.0,5.0,4.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.1,0.3,0.2,0.0001,0.5000000000000001,0.0,41.0,58.0,74.0,105.0,77.0,77.0,83.0,67.0,70.0,53.0,40.0,48.0,29.0,38.0,43.0,29.0,35.0,24.0,21.0,24.0,24.0,25.0,13.0,22.0,16.0,21.0,15.0,11.0,11.0,13.0,15.0,8.0,8.0,5.0,5.0,6.0,3.0,4.0,3.0,2.0,6.0,4.0,1.0,3.0,2.0,0.0,2.0,2.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.1,0.3,0.2,0.0001,0.6000000000000001,0.0,33.0,68.0,63.0,83.0,87.0,72.0,70.0,75.0,58.0,56.0,54.0,45.0,59.0,29.0,37.0,39.0,42.0,40.0,34.0,37.0,28.0,35.0,29.0,35.0,30.0,21.0,31.0,21.0,16.0,26.0,20.0,14.0,19.0,25.0,14.0,17.0,14.0,12.0,15.0,14.0,9.0,7.0,15.0,10.0,10.0,8.0,10.0,10.0,6.0,4.0,17.0,11.0,8.0,11.0,10.0,12.0,7.0,5.0,12.0,3.0,7.0,2.0,7.0,5.0,10.0,3.0,7.0,8.0,2.0,4.0,3.0,3.0,2.0,3.0,1.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,3.0,3.0,0.0,2.0,2.0,1.0,0.0,4.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1,0.3,0.2,0.0001,0.7000000000000002,0.0,41.0,61.0,98.0,110.0,106.0,122.0,123.0,143.0,122.0,126.0,120.0,149.0,113.0,125.0,117.0,119.0,120.0,106.0,113.0,101.0,108.0,137.0,116.0,118.0,115.0,99.0,109.0,116.0,95.0,118.0,75.0,100.0,115.0,107.0,105.0,91.0,106.0,108.0,102.0,115.0,84.0,102.0,103.0,79.0,100.0,105.0,74.0,83.0,81.0,86.0,78.0,79.0,80.0,71.0,82.0,85.0,64.0,80.0,77.0,63.0,69.0,91.0,63.0,64.0,69.0,73.0,63.0,63.0,57.0,69.0,64.0,65.0,66.0,46.0,56.0,58.0,44.0,41.0,46.0,57.0,37.0,44.0,44.0,47.0,38.0,49.0,37.0,40.0,39.0,37.0,32.0,31.0,27.0,28.0,25.0,24.0,23.0,28.0,24.0,33.0,33.0,24.0,27.0,31.0,20.0,33.0,17.0,20.0,19.0,31.0,15.0,24.0,19.0,27.0,24.0,25.0,22.0,17.0,22.0,22.0,19.0,23.0,21.0,17.0,16.0,22.0,18.0,19.0,26.0,16.0,16.0,22.0,23.0,25.0,24.0,22.0,16.0,24.0,16.0,26.0,32.0,24.0,16.0,20.0,17.0,20.0,15.0,9.0,16.0
6,0.1,0.3,0.2,0.0001,0.8000000000000003,0.0,56.0,121.0,161.0,174.0,185.0,203.0,228.0,206.0,222.0,215.0,225.0,214.0,231.0,236.0,261.0,266.0,279.0,268.0,334.0,332.0,306.0,320.0,316.0,332.0,331.0,364.0,404.0,374.0,340.0,392.0,424.0,415.0,423.0,425.0,414.0,406.0,470.0,435.0,454.0,450.0,439.0,490.0,458.0,472.0,478.0,473.0,486.0,492.0,480.0,454.0,494.0,450.0,424.0,427.0,473.0,412.0,459.0,418.0,401.0,410.0,433.0,421.0,390.0,413.0,401.0,378.0,378.0,360.0,372.0,374.0,345.0,359.0,319.0,325.0,285.0,308.0,289.0,272.0,312.0,258.0,283.0,236.0,264.0,225.0,229.0,235.0,220.0,193.0,200.0,203.0,171.0,207.0,181.0,164.0,174.0,161.0,159.0,146.0,137.0,141.0,127.0,136.0,107.0,110.0,114.0,100.0,107.0,81.0,96.0,80.0,99.0,95.0,73.0,83.0,73.0,64.0,60.0,62.0,59.0,57.0,54.0,45.0,50.0,39.0,39.0,49.0,39.0,33.0,25.0,42.0,34.0,34.0,27.0,30.0,32.0,24.0,23.0,29.0,22.0,25.0,22.0,18.0,22.0,12.0,17.0,23.0,12.0,12.0,13.0
7,0.1,0.3,0.2,0.0001,0.9000000000000002,0.0,53.0,159.0,249.0,331.0,319.0,376.0,428.0,474.0,549.0,601.0,688.0,724.0,901.0,936.0,1020.0,1050.0,1158.0,1224.0,1326.0,1308.0,1434.0,1557.0,1612.0,1701.0,1698.0,1781.0,1756.0,1832.0,1870.0,1876.0,1863.0,1760.0,1870.0,1778.0,1701.0,1616.0,1553.0,1470.0,1392.0,1318.0,1305.0,1200.0,1203.0,1094.0,1034.0,948.0,880.0,828.0,753.0,661.0,673.0,500.0,494.0,513.0,448.0,419.0,358.0,358.0,300.0,270.0,239.0,213.0,229.0,204.0,172.0,156.0,146.0,115.0,120.0,98.0,112.0,91.0,67.0,51.0,62.0,62.0,72.0,44.0,47.0,45.0,42.0,37.0,30.0,21.0,26.0,21.0,25.0,18.0,22.0,25.0,20.0,10.0,10.0,17.0,14.0,7.0,6.0,6.0,6.0,7.0,9.0,5.0,5.0,6.0,3.0,1.0,3.0,3.0,7.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.2,0.3,0.2,0.0001,0.2,0.0,24.0,36.0,43.0,55.0,44.0,37.0,36.0,30.0,38.0,21.0,25.0,18.0,12.0,9.0,9.0,8.0,8.0,11.0,6.0,12.0,3.0,0.0,3.0,4.0,4.0,6.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.2,0.3,0.2,0.0001,0.30000000000000004,0.0,23.0,62.0,63.0,65.0,69.0,48.0,60.0,41.0,26.0,34.0,38.0,24.0,27.0,20.0,21.0,14.0,12.0,14.0,7.0,9.0,14.0,5.0,16.0,6.0,6.0,4.0,6.0,3.0,3.0,5.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
