S,E,I,R,Beta
27990,0,10,72000,3.572704537334762e-06
27989,0,11,72000,3.248029258247558e-06
27988,1,10,72001,-0.0
27988,1,7,72004,5.104228342759141e-06
27987,1,8,72004,-0.0
27987,1,7,72005,5.104410721304279e-06
27986,2,5,72007,7.146430358036161e-06
27985,3,5,72007,-0.0
27985,2,4,72009,8.933357155619082e-06
27984,3,2,72011,-0.0
27984,2,2,72012,1.786735277301315e-05
27983,3,2,72012,-0.0
27983,3,2,72012,1.7867991280420257e-05
27982,4,2,72012,1.786862983346437e-05
27981,5,2,72012,-0.0
27981,3,4,72012,-0.0
27981,3,2,72014,-0.0
27981,2,3,72014,-0.0
27981,1,2,72016,-0.0
27981,0,2,72017,-0.0
27981,0,1,72018,-0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
27981,0,0,72019,0.0
19990,0,10,80000,5.002501250625313e-06
19989,0,11,80000,4.547955921211212e-06
19988,1,8,80003,-0.0
19988,1,5,80006,-0.0
19988,0,4,80008,-0.0
19988,0,2,80010,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,1,80011,-0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
19988,0,0,80012,0.0
